ECEBCB00-D9C8-11E4-AF3D-8CDCD426C973,HttpBootDxe
29CBB005-C972-49F3-960F-292E2202CECD,FspNotifyPhasePeim
1C98780A-C67D-4D9B-A9D8-4AC0487A6D6E,PcdRecoveryPei
1B45CC0A-156A-428A-AF62-49864DA0E6E6,PEI apriori file
05CA020B-0FC1-11DC-9011-00173153EBA8,AMI ROM hole
2366C20F-E15A-11E3-8BF1-E4115B28BC50,HttpDxe
52C05B14-0B98-496C-BC3B-04B50211D680,PeiCore
56BBC314-B442-4D5A-BA5C-D842DAFDBB24,PlatformInitAdvancedPreMem
EA7F0916-B5C8-493F-A006-565CC2041044,FspS3Notify
94734718-0BBC-47FB-96A5-EE7A5AE6A2AD,Dhcp4Dxe
54D7CC18-492A-4B43-AD9E-A461D81F82B5,PchInitFspTgl
BDAD7D1A-4C48-4C75-B5BC-D002D17F6397,AhciRecovery
39E8CA1A-7A69-4A73-834A-D06381933286,UsbPei
654FE61A-2EDA-4749-A76A-56ED7ADE1CBE,CmosPei
EEEE611D-F78F-4FB9-B868-55907F169280,PlatformInitPreMem
A062CF1F-8473-4AA3-8793-600BC4FFE9A8,CsmDxe
7ECD9C20-68B9-4A6F-B515-D64FF500B109,FsRecovery
C1FBD624-27EA-40D1-AA48-94C3DC5C7E0D,SbPei
86D70125-BAA3-4296-A62F-602BEBBB9081,DxeIpl
A20F7425-BC87-47D1-945C-637603323584,PlatformConfigTool
59ADD62D-A1C0-44C5-A90F-A1168770468C,PlatformInitPostMem
1BA0062E-C779-4582-8566-336AE8F78F09,Volume Top File
655B0D2F-BCF1-4B1E-9A6A-A2E891BB50E4,BiosGuardFirmwareVersionPeim
3E7DD42F-A67E-4D4F-BC02-2B5A6EC8DAE9,SetupVariablePei
67820532-7613-4DD3-9ED7-3D9BE3A7DA63,Aint13
9EA28D33-0175-4788-BEA8-6950516030A5,SmBusPei
838DCF34-907B-4D55-9A4B-A0EF7167B5F4,NvramPei
E8633F36-4B3F-4635-84E5-8ED68BAB5B78,GpioPostMem
4E22BF36-C59D-47C4-9FD1-25A603D75958,SaInitFsp
C9A6DE36-FDFF-4FAF-8343-85D9E3470F43,NvmeInt13
E9312938-E56B-4614-A252-CF7D2F377E26,AmiTcgPlatformPeiBeforeMem
76ED893A-B2F9-4C7D-A05F-1EA170ECF6CD,IntelGraphicsPeiDriver
9962883C-C025-4EBB-B699-4EA4D147C8A8,AmiTxtTcgPeim
9029F23E-E1EE-40D1-9382-36DD61A63EAA,IT8625PeiInit
8E199D3F-3A74-492B-8CB3-93D668D87D07,IsRecovery
24DDC83F-9F06-44AB-B696-60FE7DF2C948,RstVmdPeim
B219E140-DFFC-11E3-B956-0022681E6906,DnsDxe
